name,price,date,time,change,open,high,low,volume
KO,51.79,6/11/2007,9:50am,+0.12,51.67,51.796,51.54,4175960
MCD,51.39,6/11/2007,9:50am,-0.02,51.47,51.47,50.98,407819
MMM,85.74,6/11/2007,9:50am,-0.20,85.94,85.98,85.41,311100
MO,70.08,6/11/2007,9:51am,-0.22,70.25,70.30,69.88,840100
MRK,50.45,6/11/2007,9:50am,+0.31,50.30,50.63,50.04,1830600
MSFT,30.22,6/11/2007,9:56am,+0.17,30.05,30.24,29.93,7724578
PFE,26.45,6/11/2007,9:51am,-0.07,26.50,26.52,26.34,1805950
PG,63.10,6/11/2007,9:50am,+0.03,62.80,63.10,62.75,715146
T,40.16,6/11/2007,9:50am,-0.10,40.20,40.25,39.89,1199500
UTX,70.06,6/11/2007,9:50am,-0.17,69.85,70.20,69.51,270900
VZ,43.16,6/11/2007,9:50am,+0.09,42.95,43.18,42.89,614810
WMT,49.87,6/11/2007,9:51am,-0.21,49.90,50.00,49.65,1181700
XOM,82.77,6/11/2007,9:50am,+0.09,82.68,82.86,82.35,1121100
AA,39.97,6/11/2007,9:55am,+0.31,39.67,40.18,39.43,598130
AIG,71.43,6/11/2007,9:55am,-0.10,71.29,71.60,71.15,487600
AXP,62.89,6/11/2007,9:55am,-0.15,62.79,63.07,62.42,1084520
BA,98.66,6/11/2007,9:56am,+0.47,98.25,98.79,98.17,265800
C,53.14,6/11/2007,9:56am,-0.19,53.20,53.25,53.02,954314
CAT,78.87,6/11/2007,9:55am,+0.35,78.32,78.99,78.06,425952
DD,51.18,6/11/2007,9:55am,+0.05,51.13,51.21,50.69,341500
DIS,34.39,6/11/2007,9:55am,+0.19,34.28,34.44,34.12,523200
GE,37.39,6/11/2007,9:56am,+0.07,37.07,37.40,37.05,1786900
GM,31.31,6/11/2007,9:55am,+0.31,31.00,31.62,30.90,2399379
HD,37.75,6/11/2007,9:55am,-0.20,37.78,37.83,37.62,622969
HON,57.29,6/11/2007,9:56am,-0.09,57.25,57.40,57.05,245000
HPQ,46.25,6/11/2007,9:56am,+0.55,45.80,46.27,45.46,1615680
IBM,103.60,6/11/2007,9:56am,+0.53,102.87,103.62,102.50,569900
INTC,21.85,6/11/2007,10:00am,+0.02,21.70,21.95,21.69,5440945
JNJ,62.74,6/11/2007,9:56am,+0.61,62.89,62.89,62.15,887700
JPM,50.48,6/11/2007,9:56am,+0.07,50.41,50.55,50.27,924300
KO,51.63,6/11/2007,9:56am,-0.04,51.67,51.82,51.54,4247360
MCD,51.40,6/11/2007,9:56am,-0.01,51.47,51.47,50.98,448219
MMM,85.69,6/11/2007,9:55am,-0.25,85.94,85.98,85.41,323200
MO,70.10,6/11/2007,9:56am,-0.20,70.25,70.30,69.88,932900
MRK,50.38,6/11/2007,9:55am,+0.24,50.30,50.63,50.04,1943600
MSFT,30.20,6/11/2007,10:01am,+0.15,30.05,30.24,29.93,8053754
PFE,26.48,6/11/2007,9:55am,-0.04,26.50,26.53,26.34,2029150
PG,63.07,6/11/2007,9:56am,0.00,62.80,63.10,62.75,786646
T,40.08,6/11/2007,9:56am,-0.18,40.20,40.25,39.89,1364200
UTX,70.06,6/11/2007,9:56am,-0.17,69.85,70.20,69.51,289300
VZ,43.17,6/11/2007,9:56am,+0.10,42.95,43.19,42.89,683810
WMT,49.88,6/11/2007,9:56am,-0.20,49.90,50.00,49.65,1321100
XOM,82.68,6/11/2007,9:56am,0.00,82.68,82.86,82.35,1235100
AA,39.94,6/11/2007,10:00am,+0.28,39.67,40.18,39.43,660280
AIG,71.36,6/11/2007,10:00am,-0.17,71.29,71.60,71.15,575042
AXP,62.83,6/11/2007,10:00am,-0.21,62.79,63.07,62.42,1110520
BA,98.62,6/11/2007,10:01am,+0.43,98.25,98.79,98.17,285700
C,53.06,6/11/2007,10:01am,-0.27,53.20,53.25,53.02,1030199
CAT,78.66,6/11/2007,10:00am,+0.14,78.32,78.99,78.06,452352
DD,51.09,6/11/2007,10:01am,-0.04,51.13,51.21,50.69,402900
DIS,34.33,6/11/2007,10:01am,+0.13,34.28,34.44,34.12,740300
GE,37.41,6/11/2007,10:01am,+0.09,37.07,37.41,37.05,2106900
GM,31.29,6/11/2007,10:01am,+0.29,31.00,31.62,30.90,2570679
HD,37.76,6/11/2007,10:00am,-0.19,37.78,37.83,37.62,683769
HON,57.335,6/11/2007,10:01am,-0.045,57.25,57.40,57.05,289100
HPQ,46.25,6/11/2007,10:01am,+0.55,45.80,46.29,45.46,1752080
IBM,103.51,6/11/2007,10:01am,+0.44,102.87,103.63,102.50,607300
INTC,21.85,6/11/2007,10:05am,+0.02,21.70,21.95,21.69,5955030
JNJ,62.75,6/11/2007,10:01am,+0.62,62.89,62.89,62.15,1031900
JPM,50.45,6/11/2007,10:00am,+0.04,50.41,50.55,50.27,1010000
KO,51.55,6/11/2007,10:00am,-0.12,51.67,51.82,51.54,4283460
MCD,51.34,6/11/2007,10:01am,-0.07,51.47,51.47,50.98,481919
MMM,85.75,6/11/2007,10:00am,-0.19,85.94,85.98,85.41,332600
MO,70.07,6/11/2007,10:00am,-0.23,70.25,70.30,69.88,1007630
MRK,50.32,6/11/2007,10:01am,+0.18,50.30,50.64,50.04,2165200
MSFT,30.21,6/11/2007,10:05am,+0.16,30.05,30.25,29.93,8448925
PFE,26.45,6/11/2007,10:01am,-0.07,26.50,26.53,26.34,2252150
PG,63.02,6/11/2007,10:01am,-0.05,62.80,63.10,62.75,867746
T,40.05,6/11/2007,10:01am,-0.21,40.20,40.25,39.89,1496200
UTX,70.00,6/11/2007,10:00am,-0.23,69.85,70.20,69.51,308500
VZ,43.11,6/11/2007,10:00am,+0.04,42.95,43.19,42.89,804110
WMT,49.78,6/11/2007,10:01am,-0.30,49.90,50.00,49.65,1378500
XOM,82.71,6/11/2007,10:00am,+0.03,82.68,82.86,82.35,1379100
AA,39.92,6/11/2007,10:05am,+0.26,39.67,40.18,39.43,693080
AIG,71.29,6/11/2007,10:05am,-0.24,71.29,71.60,71.15,630742
AXP,62.74,6/11/2007,10:05am,-0.30,62.79,63.07,62.42,1149120
BA,98.47,6/11/2007,10:06am,+0.28,98.25,98.79,98.17,306700
C,52.97,6/11/2007,10:06am,-0.36,53.20,53.25,52.92,1191699
CAT,78.56,6/11/2007,10:06am,+0.04,78.32,78.99,78.06,512752
DD,51.068,6/11/2007,10:05am,-0.062,51.13,51.21,50.69,490000
DIS,34.29,6/11/2007,10:05am,+0.09,34.28,34.44,34.12,790550
GE,37.36,6/11/2007,10:06am,+0.04,37.07,37.41,37.05,2388519
GM,31.35,6/11/2007,10:05am,+0.35,31.00,31.62,30.90,2770879
HD,37.75,6/11/2007,10:06am,-0.20,37.78,37.83,37.62,909569
HON,57.22,6/11/2007,10:06am,-0.16,57.25,57.40,57.05,307300
HPQ,46.22,6/11/2007,10:05am,+0.52,45.80,46.29,45.46,1904480
IBM,103.57,6/11/2007,10:05am,+0.50,102.87,103.63,102.50,666400
INTC,21.83,6/11/2007,10:10am,0.00,21.70,21.95,21.69,6319637
JNJ,62.70,6/11/2007,10:06am,+0.57,62.89,62.89,62.15,1138900
JPM,50.35,6/11/2007,10:05am,-0.06,50.41,50.55,50.27,1112900
KO,51.57,6/11/2007,10:06am,-0.10,51.67,51.82,51.53,4320060
MCD,51.31,6/11/2007,10:06am,-0.10,51.47,51.47,50.98,533219
MMM,85.76,6/11/2007,10:05am,-0.18,85.94,85.98,85.41,384000
MO,69.99,6/11/2007,10:05am,-0.31,70.25,70.30,69.88,1191130
MRK,50.35,6/11/2007,10:06am,+0.21,50.30,50.64,50.04,2250500
MSFT,30.18,6/11/2007,10:11am,+0.13,30.05,30.25,29.93,9049059
PFE,26.41,6/11/2007,10:05am,-0.11,26.50,26.53,26.34,2353550
PG,63.03,6/11/2007,10:06am,-0.04,62.80,63.10,62.75,920246
T,40.04,6/11/2007,10:06am,-0.22,40.20,40.25,39.89,1644100
UTX,69.95,6/11/2007,10:05am,-0.28,69.85,70.20,69.51,332000
VZ,43.04,6/11/2007,10:05am,-0.03,42.95,43.19,42.89,886910
WMT,49.70,6/11/2007,10:05am,-0.38,49.90,50.00,49.65,1450500
XOM,82.8681,6/11/2007,10:05am,+0.1881,82.68,82.89,82.35,1544600
AA,39.91,6/11/2007,10:11am,+0.25,39.67,40.18,39.43,755880
AIG,71.29,6/11/2007,10:11am,-0.24,71.29,71.60,71.15,706842
AXP,62.79,6/11/2007,10:10am,-0.25,62.79,63.07,62.42,1183320
BA,98.45,6/11/2007,10:11am,+0.26,98.25,98.79,98.17,344500
C,52.926,6/11/2007,10:11am,-0.404,53.20,53.25,52.91,1347199
CAT,78.58,6/11/2007,10:11am,+0.06,78.32,78.99,78.06,559652
DD,50.999,6/11/2007,10:11am,-0.131,51.13,51.21,50.69,542900
DIS,34.29,6/11/2007,10:11am,+0.09,34.28,34.44,34.12,836650
GE,37.38,6/11/2007,10:11am,+0.06,37.07,37.41,37.05,2643919
GM,31.30,6/11/2007,10:11am,+0.30,31.00,31.62,30.90,2943679
HD,37.75,6/11/2007,10:11am,-0.20,37.78,37.83,37.62,1015369
HON,57.23,6/11/2007,10:11am,-0.15,57.25,57.40,57.05,332200
HPQ,46.18,6/11/2007,10:11am,+0.48,45.80,46.29,45.46,2006780
IBM,103.35,6/11/2007,10:11am,+0.28,102.87,103.63,102.50,734000
INTC,21.83,6/11/2007,10:16am,0.00,21.70,21.95,21.69,6790042
JNJ,62.71,6/11/2007,10:11am,+0.58,62.89,62.89,62.15,1274000
JPM,50.28,6/11/2007,10:11am,-0.13,50.41,50.55,50.26,1187600
KO,51.56,6/11/2007,10:11am,-0.11,51.67,51.82,51.53,4370560
MCD,51.25,6/11/2007,10:11am,-0.16,51.47,51.47,50.98,587519
MMM,85.78,6/11/2007,10:10am,-0.16,85.94,85.98,85.41,414300
MO,69.95,6/11/2007,10:11am,-0.35,70.25,70.30,69.88,1273530
MRK,50.29,6/11/2007,10:11am,+0.15,50.30,50.64,50.04,2332500
MSFT,30.14,6/11/2007,10:16am,+0.09,30.05,30.25,29.93,9998935
PFE,26.449,6/11/2007,10:10am,-0.071,26.50,26.53,26.34,2551150
PG,63.07,6/11/2007,10:10am,0.00,62.80,63.10,62.75,1010846
T,40.04,6/11/2007,10:10am,-0.22,40.20,40.25,39.89,1922900
UTX,69.91,6/11/2007,10:11am,-0.32,69.85,70.20,69.51,354300
VZ,43.10,6/11/2007,10:10am,+0.03,42.95,43.19,42.89,998110
WMT,49.73,6/11/2007,10:11am,-0.35,49.90,50.00,49.65,1577400
XOM,83.02,6/11/2007,10:11am,+0.34,82.68,83.11,82.35,1789600
AA,39.76,6/11/2007,10:15am,+0.10,39.67,40.18,39.43,804580
AIG,71.29,6/11/2007,10:16am,-0.24,71.29,71.60,71.15,781442
AXP,62.69,6/11/2007,10:16am,-0.35,62.79,63.07,62.42,1212120
BA,98.29,6/11/2007,10:16am,+0.10,98.25,98.79,98.17,373200
C,52.91,6/11/2007,10:16am,-0.42,53.20,53.25,52.84,1455899
CAT,78.51,6/11/2007,10:16am,-0.01,78.32,78.99,78.06,607452
DD,51.02,6/11/2007,10:16am,-0.11,51.13,51.21,50.69,576600
DIS,34.25,6/11/2007,10:16am,+0.05,34.28,34.44,34.12,880150
GE,37.32,6/11/2007,10:16am,0.00,37.07,37.41,37.05,2784119
GM,31.28,6/11/2007,10:16am,+0.28,31.00,31.62,30.90,3270779
HD,37.76,6/11/2007,10:16am,-0.19,37.78,37.83,37.62,1141469
HON,57.11,6/11/2007,10:16am,-0.27,57.25,57.40,57.05,379600
HPQ,46.06,6/11/2007,10:16am,+0.36,45.80,46.29,45.46,2073280
IBM,103.17,6/11/2007,10:16am,+0.10,102.87,103.63,102.50,798600
INTC,21.84,6/11/2007,10:20am,+0.01,21.70,21.95,21.69,7235829
JNJ,62.66,6/11/2007,10:16am,+0.53,62.89,62.89,62.15,1412600
JPM,50.23,6/11/2007,10:16am,-0.18,50.41,50.55,50.20,1304200
KO,51.52,6/11/2007,10:16am,-0.15,51.67,51.82,51.50,4471160
MCD,51.17,6/11/2007,10:15am,-0.24,51.47,51.47,50.98,640119
MMM,85.69,6/11/2007,10:15am,-0.25,85.94,85.98,85.41,436200
MO,69.90,6/11/2007,10:15am,-0.40,70.25,70.30,69.88,1350130
MRK,50.375,6/11/2007,10:16am,+0.235,50.30,50.64,50.04,2501800
MSFT,30.105,6/11/2007,10:21am,+0.055,30.05,30.25,29.93,11615862
PFE,26.43,6/11/2007,10:16am,-0.09,26.50,26.53,26.34,2699150
PG,63.03,6/11/2007,10:15am,-0.04,62.80,63.10,62.75,1084346
T,40.04,6/11/2007,10:16am,-0.22,40.20,40.25,39.89,2049000
UTX,69.80,6/11/2007,10:16am,-0.43,69.85,70.20,69.51,390200
VZ,43.12,6/11/2007,10:16am,+0.05,42.95,43.19,42.89,1540810
WMT,49.71,6/11/2007,10:16am,-0.37,49.90,50.00,49.65,1700900
XOM,82.79,6/11/2007,10:16am,+0.11,82.68,83.11,82.35,1945300
AA,39.7264,6/11/2007,10:21am,+0.0664,39.67,40.18,39.43,860780
AIG,71.28,6/11/2007,10:21am,-0.25,71.29,71.60,71.15,826742
AXP,62.775,6/11/2007,10:21am,-0.265,62.79,63.07,62.42,1262720
BA,98.17,6/11/2007,10:21am,-0.02,98.25,98.79,98.15,420500
C,52.89,6/11/2007,10:20am,-0.44,53.20,53.25,52.84,1554299
CAT,78.46,6/11/2007,10:21am,-0.06,78.32,78.99,78.06,645152
DD,51.02,6/11/2007,10:20am,-0.11,51.13,51.21,50.69,616000
DIS,34.29,6/11/2007,10:21am,+0.09,34.28,34.44,34.12,961150
GE,37.31,6/11/2007,10:21am,-0.01,37.07,37.41,37.05,2994719
GM,31.16,6/11/2007,10:21am,+0.16,31.00,31.62,30.90,3450979
HD,37.75,6/11/2007,10:20am,-0.20,37.78,37.83,37.62,1239969
HON,57.14,6/11/2007,10:21am,-0.24,57.25,57.40,57.05,427800
HPQ,46.08,6/11/2007,10:21am,+0.38,45.80,46.29,45.46,2169080
IBM,103.24,6/11/2007,10:21am,+0.17,102.87,103.63,102.50,1110200
INTC,21.85,6/11/2007,10:26am,+0.02,21.70,21.95,21.69,7668158
JNJ,62.65,6/11/2007,10:21am,+0.52,62.89,62.89,62.15,1466978
JPM,50.14,6/11/2007,10:21am,-0.27,50.41,50.55,50.13,1391100
KO,51.44,6/11/2007,10:20am,-0.23,51.67,51.82,51.44,4528060
MCD,51.19,6/11/2007,10:20am,-0.22,51.47,51.47,50.98,694019
MMM,85.58,6/11/2007,10:20am,-0.36,85.94,85.98,85.41,455600
MO,69.86,6/11/2007,10:21am,-0.44,70.25,70.30,69.76,1542230
MRK,50.34,6/11/2007,10:21am,+0.20,50.30,50.64,50.04,2582400
MSFT,30.10,6/11/2007,10:26am,+0.05,30.05,30.25,29.93,12004109
PFE,26.43,6/11/2007,10:21am,-0.09,26.50,26.53,26.34,2986570
PG,63.06,6/11/2007,10:21am,-0.01,62.80,63.10,62.75,1165646
T,40.04,6/11/2007,10:20am,-0.22,40.20,40.25,39.89,2229600
UTX,69.66,6/11/2007,10:21am,-0.57,69.85,70.20,69.51,420400
VZ,43.12,6/11/2007,10:21am,+0.05,42.95,43.19,42.89,1615410
WMT,49.65,6/11/2007,10:21am,-0.43,49.90,50.00,49.65,1851200
XOM,82.84,6/11/2007,10:21am,+0.16,82.68,83.11,82.35,2132200
AA,39.63,6/11/2007,10:26am,-0.03,39.67,40.18,39.43,899080
AIG,71.30,6/11/2007,10:26am,-0.23,71.29,71.60,71.15,896542
AXP,62.80,6/11/2007,10:26am,-0.24,62.79,63.07,62.42,1296620
BA,98.04,6/11/2007,10:26am,-0.15,98.25,98.79,97.96,466900
C,52.91,6/11/2007,10:26am,-0.42,53.20,53.25,52.81,1672699
CAT,78.37,6/11/2007,10:26am,-0.15,78.32,78.99,78.06,704152
DD,50.94,6/11/2007,10:25am,-0.19,51.13,51.21,50.69,643200
DIS,34.24,6/11/2007,10:26am,+0.04,34.28,34.44,34.12,1025550
GE,37.26,6/11/2007,10:26am,-0.06,37.07,37.41,37.05,3290619
GM,31.22,6/11/2007,10:26am,+0.22,31.00,31.62,30.90,4096679
HD,37.75,6/11/2007,10:26am,-0.20,37.78,37.83,37.62,1559369
HON,57.10,6/11/2007,10:26am,-0.28,57.25,57.40,57.03,450900
HPQ,46.10,6/11/2007,10:26am,+0.40,45.80,46.29,45.46,2260680
IBM,103.20,6/11/2007,10:26am,+0.13,102.87,103.63,102.50,1147300
INTC,21.84,6/11/2007,10:31am,+0.01,21.70,21.95,21.69,8125254
JNJ,62.55,6/11/2007,10:26am,+0.42,62.89,62.89,62.15,1616778
JPM,50.14,6/11/2007,10:26am,-0.27,50.41,50.55,50.05,1498700
KO,51.39,6/11/2007,10:26am,-0.28,51.67,51.82,51.32,4607560
MCD,51.17,6/11/2007,10:25am,-0.24,51.47,51.47,50.98,740919
MMM,85.51,6/11/2007,10:26am,-0.43,85.94,85.98,85.41,478800
MO,69.85,6/11/2007,10:26am,-0.45,70.25,70.30,69.76,1670405
MRK,50.32,6/11/2007,10:25am,+0.18,50.30,50.64,50.04,2654700
MSFT,30.09,6/11/2007,10:31am,+0.04,30.05,30.25,29.93,12221463
PFE,26.39,6/11/2007,10:26am,-0.13,26.50,26.53,26.34,3224570
PG,63.04,6/11/2007,10:25am,-0.03,62.80,63.10,62.75,1243746
T,40.001,6/11/2007,10:26am,-0.259,40.20,40.25,39.89,2441800
UTX,69.63,6/11/2007,10:26am,-0.60,69.85,70.20,69.51,446700
VZ,43.12,6/11/2007,10:26am,+0.05,42.95,43.19,42.89,1681910
WMT,49.595,6/11/2007,10:26am,-0.485,49.90,50.00,49.57,1951400
XOM,82.79,6/11/2007,10:26am,+0.11,82.68,83.11,82.35,2330500
AA,39.555,6/11/2007,10:31am,-0.105,39.67,40.18,39.43,944980
AIG,71.32,6/11/2007,10:30am,-0.21,71.29,71.60,71.15,953042
AXP,62.79,6/11/2007,10:31am,-0.25,62.79,63.07,62.42,1329020
BA,97.85,6/11/2007,10:31am,-0.34,98.25,98.79,97.74,531200
C,52.92,6/11/2007,10:31am,-0.41,53.20,53.25,52.81,1746999
CAT,78.43,6/11/2007,10:30am,-0.09,78.32,78.99,78.06,751652
DD,50.88,6/11/2007,10:30am,-0.25,51.13,51.21,50.69,698200
DIS,34.21,6/11/2007,10:30am,+0.01,34.28,34.44,34.12,1097150
GE,37.28,6/11/2007,10:31am,-0.04,37.07,37.41,37.05,3653019
GM,31.15,6/11/2007,10:31am,+0.15,31.00,31.62,30.90,4256179
HD,37.75,6/11/2007,10:31am,-0.20,37.78,37.83,37.62,1712669
HON,57.09,6/11/2007,10:30am,-0.29,57.25,57.40,57.03,481100
HPQ,46.08,6/11/2007,10:30am,+0.38,45.80,46.29,45.46,2341480
IBM,103.20,6/11/2007,10:30am,+0.13,102.87,103.63,102.50,1182000
INTC,21.85,6/11/2007,10:36am,+0.02,21.70,21.95,21.69,8728776
JNJ,62.59,6/11/2007,10:31am,+0.46,62.89,62.89,62.15,1771778
JPM,50.13,6/11/2007,10:30am,-0.28,50.41,50.55,50.05,1552000
KO,51.34,6/11/2007,10:31am,-0.33,51.67,51.82,51.32,4669560
